cod_materia;nome_materia;cod_departamento;sigla_departamento;nome_departamento;creditos
132225;SEMINARIO DE DESENVOLVIMENTO ECONOMICO                                ;160;ECO         ;Departamento de Economia                          ;2
391697;Seminário de Dissertaçao                                              ;149;TEF         ;Departamento de Teoria e Fundamentos              ;4
300781;Seminário de Dissertaçao                                              ;213;CDS         ;Centro de Desenvolvimento Sustentável             ;2
318515;Seminário de Dissertaçao                                              ;110;CEAM        ;Centro de Estudos Avançados e Multidisciplinares  ;2
338303;Seminário de Dissertaçao                                              ;118;GEA         ;Departamento de Geografia                         ;4
362981;Seminário de Dissertaçao de Mestrado                                  ;137;ENC         ;Departamento de Engenharia Civil e Ambiental      ;2
365211;Seminário de Dissertaçao de Mestrado 1                                ;137;ENC         ;Departamento de Engenharia Civil e Ambiental      ;1
395897;Seminário de Dissertaçao de Mestrado 2                                ;137;ENC         ;Departamento de Engenharia Civil e Ambiental      ;1
339733;Seminário de Dissertaçao em Estudos Feministas e de Genero            ;119;HIS         ;Departamento de História                          ;4
339784;Seminário de Dissertaçao em História Cultural                         ;119;HIS         ;Departamento de História                          ;4
339709;Seminário de Dissertaçao em História das Idéias e Historiografia      ;119;HIS         ;Departamento de História                          ;4
339768;Seminário de Dissertaçao em História Social                           ;119;HIS         ;Departamento de História                          ;4
301574;Seminário de Dissertaçao em Turismo                                   ;56;CET         ;Centro de Excelencia em Turismo                   ;4
365424;Seminário de Doutorado                                                ;137;ENC         ;Departamento de Engenharia Civil e Ambiental      ;1
365785;Seminário de Doutorado 1                                              ;137;ENC         ;Departamento de Engenharia Civil e Ambiental      ;1
395901;Seminário de Doutorado 2                                              ;137;ENC         ;Departamento de Engenharia Civil e Ambiental      ;1
395919;Seminário de Doutorado 3                                              ;137;ENC         ;Departamento de Engenharia Civil e Ambiental      ;1
132187;SEMINARIO DE ECONOMETRIA                                              ;160;ECO         ;Departamento de Economia                          ;4
132446;SEMINARIO DE ECONOMIA BRASILEIRA                                      ;160;ECO         ;Departamento de Economia                          ;6
132535;SEMINARIO DE ECONOMIA INDUSTRIAL                                      ;160;ECO         ;Departamento de Economia                          ;2
