id_objeto,id_sujeito,id_termo,id_objeto_tipo,desc_objeto,id_coluna
48565,39489,4,2,"Departamento de História",21
48566,39490,14,1,"História da Península Ibérica na Idade Média",17
48567,39490,28,1,4,18
48568,39490,4,2,"Departamento de História",21
48569,39491,14,1,"História e Historiografia Contemporânea 2",17
48570,39491,28,1,4,18
48571,39491,4,2,"Departamento de História",21
48572,39492,14,1,"História da África Independente",17
48573,39492,28,1,4,18
48574,39492,4,2,"Departamento de História",21
48575,39493,14,1,"História e Natureza no Brasil",17
48576,39493,28,1,4,18
48577,39493,4,2,"Departamento de História",21
48578,39494,14,1,"Estágio Supervisionado Obrigatório",17
48579,39494,28,1,12,18
48580,39494,4,2,"Departamento de Engenharia de Produçao",21
48581,39495,14,1,"História e Historiografia da Escravidao no Brasil",17
48582,39495,28,1,4,18
48583,39495,4,2,"Departamento de História",21
48584,39496,14,1,"História e Literatura no Brasil",17
48585,39496,28,1,4,18
48586,39496,4,2,"Departamento de História",21
48587,39497,14,1,"Laboratório de Ensino de História da África",17
48588,39497,28,1,4,18
48589,39497,4,2,"Departamento de História",21
48590,39498,14,1,"História, Cultura e Identidades",17
48591,39498,28,1,4,18
48592,39498,4,2,"Departamento de História",21
48593,39499,14,1,"História Social",17
48594,39499,28,1,4,18
48595,39499,4,2,"Departamento de História",21
48596,39500,14,1,"História Econômica",17
48597,39500,28,1,4,18
48598,39500,4,2,"Departamento de História",21
48599,39501,14,1,"História da Argentina",17
48600,39501,28,1,4,18
48601,39501,4,2,"Departamento de História",21
48602,39502,14,1,"Laboratório de Ensino de História Medieval",17
48603,39502,28,1,4,18
48604,39502,4,2,"Departamento de História",21
48605,39503,14,1,Logística,17
48606,39503,28,1,4,18
48607,39503,4,2,"Departamento de Engenharia de Produçao",21
48608,39504,14,1,"Engenharia do Produto",17
48609,39504,28,1,4,18
48610,39504,4,2,"Departamento de Engenharia de Produçao",21
48611,39505,14,1,"Controle de Qualidade Físico-Químico",17
48612,39505,28,1,4,18
48613,39505,4,2,"Faculdade de Ciencias da Saúde",21
48614,39506,14,1,"Controle Estatístico de Processos",17
48615,39506,28,1,4,18
48616,39506,4,2,"Departamento de Engenharia de Produçao",21
48617,39507,14,1,"Custos em Sistemas de Produçao",17
48618,39507,28,1,4,18
48619,39507,4,2,"Departamento de Engenharia de Produçao",21
48620,39508,14,1,"Controle de Qualidade Microbiológico",17
48621,39508,28,1,4,18
48622,39508,4,2,"Faculdade de Ciencias da Saúde",21
48623,39509,14,1,"Dinâmica de Sistemas em Organizaçoes",17
48624,39509,28,1,4,18
48625,39509,4,2,"Departamento de Engenharia de Produçao",21
48626,39510,14,1,"Gestao de Riscos em Organizaçao",17
48627,39510,28,1,4,18
48628,39510,4,2,"Departamento de Engenharia de Produçao",21
48629,39511,14,1,"Mercadologia Estratégica",17
48630,39511,28,1,4,18
48631,39511,4,2,"Departamento de Engenharia de Produçao",21
48632,39512,14,1,"Pesquisa Operacional em Engenharia 2",17
48633,39512,28,1,4,18
