nome_departamento;sigla_departamento;cod_faculdade;cod_materia;periodo_disciplina;prioridade;cod_fluxo
Instituto de Química                              ;IQD         ;1562;206831;4;25;1562206831
Instituto de Química                              ;IQD         ;1562;104353;5;26;1562104353
Instituto de Química                              ;IQD         ;1562;119032;5;27;1562119032
Instituto de Química                              ;IQD         ;1562;109878;5;28;1562109878
Instituto de Química                              ;IQD         ;1562;100986;5;29;1562100986
Instituto de Química                              ;IQD         ;1562;106551;5;30;1562106551
Instituto de Química                              ;IQD         ;1562;168921;5;31;1562168921
Instituto de Química                              ;IQD         ;1562;104388;6;33;1562104388
Instituto de Química                              ;IQD         ;1562;104396;6;34;1562104396
Instituto de Química                              ;IQD         ;1562;110370;6;35;1562110370
Instituto de Química                              ;IQD         ;1562;168033;6;36;1562168033
Instituto de Química                              ;IQD         ;1562;104400;7;37;1562104400
Instituto de Química                              ;IQD         ;1562;103764;7;38;1562103764
Instituto de Química                              ;IQD         ;1562;104426;7;39;1562104426
Instituto de Química                              ;IQD         ;1562;107484;7;40;1562107484
Instituto de Química                              ;IQD         ;1562;104418;8;41;1562104418
Instituto de Química                              ;IQD         ;1562;104361;8;42;1562104361
Instituto de Química                              ;IQD         ;1562;107492;8;43;1562107492
Instituto de Química                              ;IQD         ;1562;107506;9;44;1562107506
Instituto de Química                              ;IQD         ;1562;104477;9;45;1562104477
Instituto de Química                              ;IQD         ;1562;104523;9;46;1562104523
Instituto de Química                              ;IQD         ;1562;104540;10;47;1562104540
Instituto de Química                              ;IQD         ;1562;104531;10;48;1562104531
Instituto de Relaçőes Internacionais              ;IREL        ;400;185001;1;1;400185001
Instituto de Relaçőes Internacionais              ;IREL        ;400;185035;1;2;400185035
Instituto de Relaçőes Internacionais              ;IREL        ;400;134465;1;3;400134465
Instituto de Relaçőes Internacionais              ;IREL        ;400;132012;1;4;400132012
Instituto de Relaçőes Internacionais              ;IREL        ;400;185051;2;5;400185051
Instituto de Relaçőes Internacionais              ;IREL        ;400;139033;2;6;400139033
Instituto de Relaçőes Internacionais              ;IREL        ;400;115011;2;7;400115011
Instituto de Relaçőes Internacionais              ;IREL        ;400;184039;2;8;400184039
Instituto de Relaçőes Internacionais              ;IREL        ;400;132039;3;9;400132039
Instituto de Relaçőes Internacionais              ;IREL        ;400;139718;3;10;400139718
Instituto de Relaçőes Internacionais              ;IREL        ;400;185019;3;11;400185019
Instituto de Relaçőes Internacionais              ;IREL        ;400;185060;3;12;400185060
Instituto de Relaçőes Internacionais              ;IREL        ;400;185329;4;13;400185329
Instituto de Relaçőes Internacionais              ;IREL        ;400;184101;4;14;400184101
Instituto de Relaçőes Internacionais              ;IREL        ;400;132233;4;15;400132233
Instituto de Relaçőes Internacionais              ;IREL        ;400;187151;4;16;400187151
Instituto de Relaçőes Internacionais              ;IREL        ;400;184187;5;17;400184187
Instituto de Relaçőes Internacionais              ;IREL        ;400;187020;5;18;400187020
Instituto de Relaçőes Internacionais              ;IREL        ;400;185043;5;19;400185043
Instituto de Relaçőes Internacionais              ;IREL        ;400;187046;5;20;400187046
Instituto de Relaçőes Internacionais              ;IREL        ;400;187160;6;21;400187160
Instituto de Relaçőes Internacionais              ;IREL        ;400;187062;6;22;400187062
Instituto de Relaçőes Internacionais              ;IREL        ;400;186937;6;27;400186937
Instituto de Relaçőes Internacionais              ;IREL        ;400;185337;7;23;400185337
Instituto de Relaçőes Internacionais              ;IREL        ;400;186953;7;25;400186953
Instituto de Relaçőes Internacionais              ;IREL        ;400;185299;7;26;400185299
Instituto de Relaçőes Internacionais              ;IREL        ;400;185469;8;28;400185469
Instituto de Relaçőes Internacionais              ;IREL        ;400;187119;8;28;400187119
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;140082;1;1;1465140082
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;142328;1;2;1465142328
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;142930;1;3;1465142930
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;145874;1;4;1465145874
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;145955;1;5;1465145955
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;145947;2;7;1465145947
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;145998;2;8;1465145998
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;142999;2;9;1465142999
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;142336;2;10;1465142336
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;201618;2;11;1465201618
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;145939;3;12;1465145939
