cod_oferta;turma;vagas_oferecidas;periodo;matricula_professor;cod_materia
648013;C ;60;20181;1078127;184802
648014;A ;10;20181;1063871;203050
648015;B ;10;20181;1103059;203050
648022;B ;40;20181;1049143;195596
648023;A ;40;20181;1099175;208787
648024;A ;20;20181;147672;142841
648025;A ;40;20181;1064177;182613
648039;A ;40;20181;1086049;161608
648055;A ;40;20181;1041835;176656
648056;A ;50;20181;1045261;186384
648057;A ;10;20181;140538;165409
648060;C ;100;20181;1014293;170054
648061;A ;45;20181;1033719;126152
648063;A ;45;20181;1084810;101133
648070;B ;40;20181;1030299;179981
648071;A ;36;20181;973912;138070
648072;A ;35;20181;1109057;116327
648073;B ;45;20181;997536;116327
648074;C ;35;20181;1034448;116327
648086;A ;50;20181;1099515;200824
648087;A ;40;20181;1109324;208779
648088;C ;10;20181;1042360;181471
648089;A ;10;20181;1103644;181471
648090;B ;10;20181;1042360;181471
648092;A ;30;20181;149047;118346
648093;A ;95;20181;1027352;195308
648094;B ;95;20181;743712;195308
648095;A ;20;20181;151939;111848
648096;B ;20;20181;1034979;111848
648097;C ;20;20181;1034979;111848
648098;D ;20;20181;1034979;111848
648099;E ;20;20181;1034979;111848
648100;A ;18;20181;150762;111929
648101;B ;18;20181;149039;111929
648102;C ;18;20181;149039;111929
648103;D ;18;20181;149039;111929
648104;C ;15;20181;1085379;171662
648108;ZZ;1;20181;1045903;161683
648117;LL;1;20181;995363;161683
648118;B ;12;20181;729043;176273
648119;A ;50;20181;1071971;179914
648120;A ;20;20181;993743;201391
648121;A ;45;20181;1047477;207608
648122;B ;45;20181;1107291;207608
648123;A ;7;20181;1103334;179931
648125;A ;26;20181;1100009;144886
648126;B ;50;20181;1041584;186066
648127;C ;12;20181;1103598;176273
648128;A ;13;20181;151386;176273
648129;B ;40;20181;138321;126152
648131;A ;40;20181;1029720;155349
648140;A ;50;20181;1075837;169081
648143;D ;11;20181;1055925;100838
648144;C ;40;20181;1109766;191175
648153;A ;34;20181;1038982;204579
648154;A ;20;20181;152587;154482
648155;A ;60;20181;1092022;132047
648156;A ;40;20181;1037170;202541
648157;A ;30;20181;1095366;153214
648158;A ;40;20181;1042726;158119
648159;B ;40;20181;146081;158119
648161;A ;50;20181;1019970;115169
648165;A ;130;20181;1064037;199133
648167;A ;40;20181;120791;165280
648168;A ;30;20181;1063847;110353
648170;A ;30;20181;1053396;102601
648171;A ;25;20181;1064339;100838
648172;A ;18;20181;1066897;208566
648173;B ;18;20181;1066897;208566
